Data Quality Rating,Functional Size,Adjusted Function Points,Total Work Effort,Development Type,Package Customisation,Architecture,Web development,Development Platform,Language Type,Used Methodology,Resource Level
C,80,90,2879,Enhancement,No,Multi-tier,NonWeb,MF,3GL,Yes,1
B,0,286,2070,Enhancement,No,Client server,NonWeb,MF,ApG,Yes,1
A,114,97,1853,Enhancement,No,Stand alone,NonWeb,MF,3GL,Yes,2
B,149,149,518,New Development,Dont Know,?,NonWeb,?,?,No,1
B,18,16,465,New Development,Yes,Multi-tier,NonWeb,MF,4GL,Yes,4
B,374,374,5072,Enhancement,No,?,NonWeb,MF,3GL,No,1
A,84,73,1121,Enhancement,?,Stand alone,NonWeb,MR,4GL,No,1
B,129,129,656,New Development,No,?,NonWeb,MF,3GL,No,1
A,268,268,2933,Enhancement,No,Client server,NonWeb,MR,4GL,Yes,2
A,10,9,239,Enhancement,Yes,?,NonWeb,?,3GL,Yes,1
B,0,4,24,Enhancement,?,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
A,0,261,4422,Enhancement,No,Stand alone,NonWeb,MF,?,No,2
A,0,1507,32399,Enhancement,No,Stand alone,NonWeb,MF,3GL,Yes,1
A,253,253,6232,New Development,?,Stand alone,NonWeb,MF,3GL,Yes,1
B,589,589,4217,New Development,No,?,Web,MR,3GL,No,1
A,?,?,6848,Enhancement,?,Client server,NonWeb,MF,3GL,Yes,4
A,34,?,11239,New Development,?,Client server,NonWeb,MF,3GL,Yes,1
B,860,860,2074,New Development,Dont Know,?,NonWeb,?,?,No,1
B,122,122,574,Enhancement,Dont Know,?,NonWeb,?,4GL,No,1
A,177,173,8716,New Development,?,?,NonWeb,?,3GL,Yes,1
D,146,146,1620,New Development,No,Stand alone,NonWeb,MF,ApG,Yes,1
A,141,134,2019,Enhancement,?,?,NonWeb,?,3GL,Yes,1
B,0,188,1354,New Development,?,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
A,57,63,623,New Development,?,Stand alone,NonWeb,MF,3GL,Yes,1
B,310,348,5374,Enhancement,No,Multi-tier,NonWeb,MF,3GL,Yes,1
B,17,17,1015,New Development,No,?,NonWeb,MF,3GL,No,1
A,354,354,5841,Re-development,?,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
A,0,4911,59028,New Development,?,Stand alone,NonWeb,MR,?,Yes,1
B,30,30,578,New Development,No,Multi-tier or Client server,NonWeb,Multi,3GL,No,1
B,126,126,1442,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
B,15,15,3842,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,3GL,No,1
B,227,323,15544,Enhancement,?,Stand alone,NonWeb,?,3GL,Yes,1
A,81,84,2738,Enhancement,?,Client server,NonWeb,PC,4GL,Yes,1
B,340,340,2723,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
A,7599,9803,36286,New Development,No,Stand alone,NonWeb,MF,ApG,Yes,1
B,169,169,625,New Development,Dont Know,?,NonWeb,?,?,No,1
B,1200,1200,53721,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
D,15,12,10,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
B,77,77,378,Enhancement,?,Client server,NonWeb,?,?,Yes,1
A,69,71,4019,Enhancement,?,Stand alone,NonWeb,MR,3GL,Yes,1
C,0,226,4667,Enhancement,No,Multi-tier,NonWeb,MF,2GL,Yes,1
A,2090,?,10500,Re-development,?,Client server,Web,PC,4GL,Yes,1
A,1431,1402,17607,New Development,No,?,NonWeb,MF,4GL,Yes,1
B,0,1117,35415,Enhancement,?,Stand alone,NonWeb,MF,3GL,Yes,1
B,19,19,155,Enhancement,No,?,Web,MR,3GL,No,1
B,0,149,1092,Enhancement,Yes,Stand alone,NonWeb,MF,4GL,No,1
B,376,376,1230,Enhancement,No,?,NonWeb,PC,?,No,1
B,975,1014,3504,New Development,Yes,Stand alone,NonWeb,MF,4GL,No,1
B,0,87,3585,Enhancement,No,Stand alone,NonWeb,MF,2GL,Yes,1
A,367,473,6371,New Development,?,Stand alone,NonWeb,MF,3GL,Yes,1
A,409,397,7459,New Development,?,Stand alone,NonWeb,PC,3GL,Yes,1
C,1569,1679,8584,Enhancement,No,Stand alone,NonWeb,PC,ApG,Yes,2
B,556,556,1679,New Development,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
B,0,233,1817,Enhancement,?,Multi-tier or Client server,NonWeb,Multi,4GL,Yes,1
B,82,88,10886,Enhancement,?,?,NonWeb,?,3GL,Yes,1
A,64,66,1817,Enhancement,?,Stand alone,NonWeb,MR,4GL,Yes,1
A,191,222,2450,Enhancement,?,?,NonWeb,?,4GL,Yes,1
B,92,92,5600,Enhancement,No,?,NonWeb,MF,3GL,Yes,1
B,56,56,426,Enhancement,No,?,NonWeb,MF,3GL,No,1
A,209,245,3532,Enhancement,No,Multi-tier,NonWeb,MF,4GL,Yes,1
B,0,524,11500,Enhancement,No,Client server,NonWeb,MF,3GL,No,1
B,155,183,8385,Enhancement,?,?,NonWeb,?,3GL,Yes,1
B,638,638,10135,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,3GL,No,1
B,0,160,1136,Enhancement,?,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
B,55,62,10558,Enhancement,?,?,NonWeb,?,3GL,Yes,1
B,313,313,441,New Development,Dont Know,?,NonWeb,?,3GL,No,1
B,0,78,840,Enhancement,No,?,NonWeb,?,?,Yes,2
A,517,579,784,New Development,No,?,NonWeb,PC,4GL,Yes,1
B,105,166,2898,Enhancement,?,Stand alone,NonWeb,?,3GL,Yes,1
B,1671,1671,39358,New Development,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
A,430,520,3133,New Development,No,Client server,NonWeb,MF,3GL,Yes,2
C,131,136,1600,Enhancement,No,Stand alone,NonWeb,MF,3GL,Yes,1
B,233,231,4116,New Development,No,Stand alone,NonWeb,MF,3GL,No,1
B,262,262,2240,New Development,?,?,Web,?,?,No,1
B,89,93,983,Enhancement,?,?,NonWeb,MF,3GL,Yes,1
B,397,232,3468,Enhancement,?,Stand alone,NonWeb,?,4GL,Yes,1
B,398,442,749,New Development,No,?,NonWeb,MR,4GL,Yes,1
A,182,?,245,New Development,?,Stand alone,NonWeb,PC,3GL,Yes,4
A,60,60,992,Enhancement,No,Stand alone,NonWeb,MF,3GL,No,1
B,342,342,1680,New Development,No,?,NonWeb,MF,4GL,No,1
A,421,421,16788,Re-development,?,Client server,NonWeb,PC,3GL,Yes,1
B,0,467,2855,Enhancement,?,Client server,NonWeb,PC,4GL,Yes,1
B,919,919,1624,New Development,No,Multi-tier or Client server,NonWeb,Multi,3GL,No,1
B,749,749,4623,New Development,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
B,224,224,2444,New Development,Dont Know,?,NonWeb,?,3GL,No,1
B,295,351,1775,Enhancement,?,?,NonWeb,MF,3GL,Yes,1
A,279,235,937,Enhancement,?,?,NonWeb,?,4GL,Yes,1
B,95,95,350,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,3GL,Yes,1
B,1052,1052,39104,Enhancement,?,Stand alone,NonWeb,MF,4GL,Yes,4
B,2120,2120,11830,New Development,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
B,472,444,7520,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
A,0,1290,18297,New Development,?,?,NonWeb,?,3GL,Yes,1
B,161,185,9719,Enhancement,?,?,NonWeb,MF,3GL,Yes,1
B,382,478,22000,Enhancement,No,Client server,NonWeb,MF,3GL,Yes,4
A,58,62,2027,Enhancement,Yes,Client server,NonWeb,MR,4GL,Yes,1
B,119,138,1907,Enhancement,?,Stand alone,NonWeb,MF,3GL,Yes,1
B,56,56,980,Enhancement,No,?,NonWeb,MF,3GL,No,1
B,408,408,1820,Enhancement,Dont Know,?,NonWeb,?,?,No,1
B,48,48,186,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,3GL,No,1
A,306,306,2082,Re-development,No,Stand alone,NonWeb,MF,3GL,Yes,2
B,157,157,441,Enhancement,Dont Know,?,NonWeb,?,4GL,No,1
B,70,60,1607,Enhancement,?,?,NonWeb,?,3GL,Yes,1
A,135,119,700,New Development,No,Client server,NonWeb,PC,4GL,Yes,1
A,1502,1587,7490,New Development,No,Stand alone,NonWeb,PC,4GL,Yes,4
B,0,385,1346,Enhancement,No,Client server,NonWeb,MF,4GL,No,1
B,255,265,14040,Enhancement,?,?,NonWeb,MF,3GL,Yes,1
B,81,98,1168,Enhancement,?,Client server,NonWeb,?,4GL,Yes,1
B,67,70,322,Enhancement,?,?,Web,?,3GL,Yes,1
B,50,61,1556,Enhancement,?,?,NonWeb,MF,3GL,Yes,1
B,73,68,1642,Enhancement,?,?,NonWeb,?,3GL,Yes,1
B,2303,2372,16514,New Development,No,Stand alone,NonWeb,MF,4GL,Yes,2
B,0,58,278,Enhancement,?,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
A,474,474,1829,Enhancement,?,Client server,Web,MF,3GL,Yes,1
B,126,123,843,Enhancement,?,?,Web,?,?,No,1
A,128,128,3303,Enhancement,?,Client server,Web,MF,3GL,No,1
A,3113,3113,34085,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
C,133,153,2216,Enhancement,No,Stand alone,NonWeb,MR,3GL,No,1
C,86,79,1221,Enhancement,?,?,NonWeb,?,?,Yes,1
B,396,360,8249,Enhancement,?,?,NonWeb,MF,3GL,Yes,1
B,0,2059,6200,Re-development,No,Client server,NonWeb,PC,?,Yes,4
B,0,36,117,Enhancement,No,Stand alone,NonWeb,PC,3GL,No,1
A,59,63,778,Enhancement,?,Stand alone,NonWeb,MR,3GL,Yes,1
A,105,98,1000,New Development,?,Stand alone,NonWeb,MF,3GL,Yes,1
B,139,139,1000,New Development,No,?,NonWeb,MR,?,No,1
A,68,70,617,Enhancement,?,?,NonWeb,?,4GL,Yes,1
B,158,169,4140,Enhancement,?,?,NonWeb,?,3GL,Yes,1
A,81,88,129,Enhancement,?,?,NonWeb,?,3GL,Yes,1
B,34,34,61,Enhancement,No,?,NonWeb,MF,3GL,No,1
A,94,75,720,New Development,No,Stand alone,NonWeb,MF,?,Yes,1
C,0,100,1200,New Development,No,Stand alone,NonWeb,?,2GL,No,1
B,0,218,3074,New Development,?,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
B,267,286,2400,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,4
C,731,731,0,New Development,No,Multi-tier or Client server,NonWeb,Multi,3GL,No,1
B,0,14745,6708,Enhancement,Yes,Stand alone,NonWeb,MR,4GL,No,1
B,117,117,1674,Enhancement,No,Multi-tier,NonWeb,MF,3GL,Yes,1
B,128,128,78,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,?,No,1
A,51,62,883,Enhancement,No,Stand alone,NonWeb,MF,3GL,Yes,1
B,103,106,1920,Enhancement,?,?,NonWeb,MF,4GL,Yes,1
B,213,213,4044,New Development,Yes,Stand alone,NonWeb,MF,3GL,Yes,1
B,404,404,844,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
D,103,97,218,New Development,No,Stand alone,NonWeb,MF,3GL,No,4
